S,Trig,Condition
eeg_pilot_6,4,side=r_itd=500_az=0_mag=0_lpf=0
eeg_pilot_6,5,side=r_itd=50_az=0_mag=0_lpf=0
eeg_pilot_6,6,side=r_itd=0_az=5_mag=0_lpf=0
eeg_pilot_6,7,side=r_itd=0_az=5_mag=1_lpf=0
eeg_pilot_6,8,side=l_itd=0_az=5_mag=1_lpf=0
eeg_pilot_6,9,side=l_itd=50_az=0_mag=0_lpf=0
eeg_pilot_6,10,side=l_itd=500_az=0_mag=0_lpf=0
eeg_pilot_6,11,side=l_itd=0_az=5_mag=0_lpf=0
eeg_pilot_6,1,Inhale
eeg_pilot_6,2,Exhale
eeg_pilot_6,3,Hold_Breath
eeg_pilot_6,4,side=r_itd=500_az=0_mag=0_lpf=0
eeg_pilot_6,5,side=r_itd=50_az=0_mag=0_lpf=0
eeg_pilot_6,6,side=r_itd=0_az=5_mag=0_lpf=0
eeg_pilot_6,7,side=r_itd=0_az=5_mag=1_lpf=0
eeg_pilot_6,8,side=l_itd=0_az=5_mag=1_lpf=0
eeg_pilot_6,9,side=l_itd=50_az=0_mag=0_lpf=0
eeg_pilot_6,10,side=l_itd=500_az=0_mag=0_lpf=0
eeg_pilot_6,11,side=l_itd=0_az=5_mag=0_lpf=0
