0_practice,0__practice__l=gae-gae-dae-gae-gae-dae-dae-bae-gae__r=gae-gae-bae-dae-bae-gae-dae-gae-dae.wav,Target,gae,11025,gae,26460,dae,63945,gae,90405,gae,105840,dae,132300,dae,169785,bae,185220,gae,222705
0_practice,0__practice__l=gae-gae-dae-gae-gae-dae-dae-bae-gae__r=gae-gae-bae-dae-bae-gae-dae-gae-dae.wav,Masker,gae,0,gae,37485,bae,52920,dae,79380,bae,116865,gae,143325,dae,158760,gae,196245,dae,211680
1_practice,1__practice__l=gae-bae-gae-bae-gae-gae-dae-gae-dae__r=gae-gae-dae-dae-dae-dae-gae-bae-dae.wav,Target,gae,11025,bae,26460,gae,63945,bae,79380,gae,105840,gae,143325,dae,158760,gae,185220,dae,222705
1_practice,1__practice__l=gae-bae-gae-bae-gae-gae-dae-gae-dae__r=gae-gae-dae-dae-dae-dae-gae-bae-dae.wav,Masker,gae,0,gae,37485,dae,52920,dae,90405,dae,116865,dae,132300,gae,169785,bae,196245,dae,211680
2_practice,2__practice__l=gae-bae-gae-gae-gae-gae-dae-gae-dae__r=gae-gae-gae-gae-bae-dae-bae-dae-bae.wav,Target,gae,11025,bae,37485,gae,52920,gae,90405,gae,105840,gae,143325,dae,169785,gae,185220,dae,222705
2_practice,2__practice__l=gae-bae-gae-gae-gae-gae-dae-gae-dae__r=gae-gae-gae-gae-bae-dae-bae-dae-bae.wav,Masker,gae,0,gae,26460,gae,63945,gae,79380,bae,116865,dae,132300,bae,158760,dae,196245,bae,211680
3_practice,3__practice__l=dae-bae-dae-gae-dae-dae-dae-gae-gae__r=dae-gae-gae-bae-gae-bae-gae-dae-gae.wav,Target,dae,11025,bae,37485,dae,52920,gae,79380,dae,105840,dae,132300,dae,169785,gae,185220,gae,211680
3_practice,3__practice__l=dae-bae-dae-gae-dae-dae-dae-gae-gae__r=dae-gae-gae-bae-gae-bae-gae-dae-gae.wav,Masker,dae,0,gae,26460,gae,63945,bae,90405,gae,116865,bae,143325,gae,158760,dae,196245,gae,222705
0_side=r_itd=50_az=0_mag=0_lpf=0,0__side=r_itd=50_az=0_mag=0_lpf=0__l=dae-bae-dae-bae-gae-bae-dae-dae-dae__r=gae-dae-gae-dae-dae-dae-gae-gae-bae.wav,Masker,dae,0,bae,37485,dae,52920,bae,79380,gae,105840,bae,132300,dae,158760,dae,196245,dae,211680
0_side=r_itd=50_az=0_mag=0_lpf=0,0__side=r_itd=50_az=0_mag=0_lpf=0__l=dae-bae-dae-bae-gae-bae-dae-dae-dae__r=gae-dae-gae-dae-dae-dae-gae-gae-bae.wav,Target,gae,11025,dae,26460,gae,63945,dae,90405,dae,116865,dae,143325,gae,169785,gae,185220,bae,222705
1_side=r_itd=50_az=0_mag=0_lpf=0,1__side=r_itd=50_az=0_mag=0_lpf=0__l=gae-gae-dae-bae-dae-dae-gae-dae-gae__r=gae-gae-dae-dae-gae-bae-gae-bae-dae.wav,Masker,gae,0,gae,37485,dae,52920,bae,90405,dae,105840,dae,132300,gae,158760,dae,196245,gae,222705
1_side=r_itd=50_az=0_mag=0_lpf=0,1__side=r_itd=50_az=0_mag=0_lpf=0__l=gae-gae-dae-bae-dae-dae-gae-dae-gae__r=gae-gae-dae-dae-gae-bae-gae-bae-dae.wav,Target,gae,11025,gae,26460,dae,63945,dae,79380,gae,116865,bae,143325,gae,169785,bae,185220,dae,211680
2_side=r_itd=50_az=0_mag=0_lpf=0,2__side=r_itd=50_az=0_mag=0_lpf=0__l=dae-dae-dae-gae-bae-gae-bae-dae-dae__r=dae-bae-gae-gae-dae-gae-gae-gae-gae.wav,Masker,dae,11025,dae,37485,dae,63945,gae,79380,bae,105840,gae,132300,bae,158760,dae,196245,dae,222705
2_side=r_itd=50_az=0_mag=0_lpf=0,2__side=r_itd=50_az=0_mag=0_lpf=0__l=dae-dae-dae-gae-bae-gae-bae-dae-dae__r=dae-bae-gae-gae-dae-gae-gae-gae-gae.wav,Target,dae,0,bae,26460,gae,52920,gae,90405,dae,116865,gae,143325,gae,169785,gae,185220,gae,211680
3_side=r_itd=50_az=0_mag=0_lpf=0,3__side=r_itd=50_az=0_mag=0_lpf=0__l=gae-gae-gae-dae-bae-gae-gae-gae-dae__r=gae-bae-gae-gae-gae-gae-bae-gae-bae.wav,Masker,gae,0,gae,37485,gae,63945,dae,90405,bae,116865,gae,143325,gae,169785,gae,196245,dae,222705
3_side=r_itd=50_az=0_mag=0_lpf=0,3__side=r_itd=50_az=0_mag=0_lpf=0__l=gae-gae-gae-dae-bae-gae-gae-gae-dae__r=gae-bae-gae-gae-gae-gae-bae-gae-bae.wav,Target,gae,11025,bae,26460,gae,52920,gae,79380,gae,105840,gae,132300,bae,158760,gae,185220,bae,211680
0_side=l_itd=50_az=0_mag=0_lpf=0,0__side=l_itd=50_az=0_mag=0_lpf=0__l=gae-bae-dae-bae-gae-bae-gae-dae-dae__r=dae-gae-dae-dae-gae-gae-dae-bae-dae.wav,Target,gae,11025,bae,37485,dae,63945,bae,79380,gae,105840,bae,143325,gae,169785,dae,185220,dae,211680
