S,Trig,Condition
eeg_pilot_9,4,side=r_itd=500_az=0_mag=0_lpf=0
eeg_pilot_9,5,side=r_itd=50_az=0_mag=0_lpf=0
eeg_pilot_9,6,side=r_itd=0_az=5_mag=0_lpf=0
eeg_pilot_9,7,side=r_itd=0_az=5_mag=1_lpf=0
eeg_pilot_9,8,side=l_itd=0_az=5_mag=1_lpf=0
eeg_pilot_9,9,side=l_itd=50_az=0_mag=0_lpf=0
eeg_pilot_9,10,side=l_itd=500_az=0_mag=0_lpf=0
eeg_pilot_9,11,side=l_itd=0_az=5_mag=0_lpf=0
eeg_pilot_9,1,Inhale
eeg_pilot_9,2,Exhale
eeg_pilot_9,3,Hold_Breath
eeg_pilot_9,4,side=r_itd=500_az=0_mag=0_lpf=0
eeg_pilot_9,5,side=r_itd=50_az=0_mag=0_lpf=0
eeg_pilot_9,6,side=r_itd=0_az=5_mag=0_lpf=0
eeg_pilot_9,7,side=r_itd=0_az=5_mag=1_lpf=0
eeg_pilot_9,8,side=l_itd=0_az=5_mag=1_lpf=0
eeg_pilot_9,9,side=l_itd=50_az=0_mag=0_lpf=0
eeg_pilot_9,10,side=l_itd=500_az=0_mag=0_lpf=0
eeg_pilot_9,11,side=l_itd=0_az=5_mag=0_lpf=0
