S,Trig,Condition
ildpilot5,4,side=r_itd=0_az=10_mag=0
ildpilot5,5,side=l_itd=0_az=30_mag=0
ildpilot5,6,side=r_itd=0_az=5_mag=1
ildpilot5,7,side=r_itd=0_az=30_mag=1
ildpilot5,8,side=l_itd=0_az=10_mag=1
ildpilot5,9,side=r_itd=0_az=5_mag=0
ildpilot5,10,side=l_itd=0_az=5_mag=0
ildpilot5,11,side=r_itd=0_az=30_mag=0
ildpilot5,12,side=l_itd=0_az=20_mag=1
ildpilot5,13,side=l_itd=0_az=20_mag=0
ildpilot5,14,side=l_itd=0_az=10_mag=0
ildpilot5,15,side=l_itd=0_az=5_mag=1
ildpilot5,16,side=r_itd=0_az=10_mag=1
ildpilot5,17,side=r_itd=0_az=20_mag=1
ildpilot5,18,side=l_itd=0_az=30_mag=1
ildpilot5,19,side=r_itd=0_az=20_mag=0
ildpilot5,1,Inhale
ildpilot5,2,Exhale
ildpilot5,3,Hold_Breath
ildpilot5,4,side=r_itd=0_az=10_mag=0
ildpilot5,5,side=l_itd=0_az=30_mag=0
ildpilot5,6,side=r_itd=0_az=5_mag=1
ildpilot5,7,side=r_itd=0_az=30_mag=1
ildpilot5,8,side=l_itd=0_az=10_mag=1
ildpilot5,9,side=r_itd=0_az=5_mag=0
ildpilot5,10,side=l_itd=0_az=5_mag=0
ildpilot5,11,side=r_itd=0_az=30_mag=0
ildpilot5,12,side=l_itd=0_az=20_mag=1
ildpilot5,13,side=l_itd=0_az=20_mag=0
ildpilot5,14,side=l_itd=0_az=10_mag=0
ildpilot5,15,side=l_itd=0_az=5_mag=1
ildpilot5,16,side=r_itd=0_az=10_mag=1
ildpilot5,17,side=r_itd=0_az=20_mag=1
ildpilot5,18,side=l_itd=0_az=30_mag=1
ildpilot5,19,side=r_itd=0_az=20_mag=0
