S,Trig,Condition
shorttest5,4,side=r_itd=0_az=10_mag=0
shorttest5,5,side=r_itd=0_az=5_mag=1
shorttest5,6,side=l_itd=0_az=10_mag=1
shorttest5,7,side=r_itd=0_az=5_mag=0
shorttest5,8,side=l_itd=0_az=5_mag=0
shorttest5,9,side=l_itd=0_az=20_mag=1
shorttest5,10,side=l_itd=0_az=20_mag=0
shorttest5,11,side=l_itd=0_az=10_mag=0
shorttest5,12,side=l_itd=0_az=5_mag=1
shorttest5,13,side=r_itd=0_az=10_mag=1
shorttest5,14,side=r_itd=0_az=20_mag=1
shorttest5,15,side=r_itd=0_az=20_mag=0
shorttest5,1,Inhale
shorttest5,2,Exhale
shorttest5,3,Hold_Breath
shorttest5,4,side=r_itd=0_az=10_mag=0
shorttest5,5,side=r_itd=0_az=5_mag=1
shorttest5,6,side=l_itd=0_az=10_mag=1
shorttest5,7,side=r_itd=0_az=5_mag=0
shorttest5,8,side=l_itd=0_az=5_mag=0
shorttest5,9,side=l_itd=0_az=20_mag=1
shorttest5,10,side=l_itd=0_az=20_mag=0
shorttest5,11,side=l_itd=0_az=10_mag=0
shorttest5,12,side=l_itd=0_az=5_mag=1
shorttest5,13,side=r_itd=0_az=10_mag=1
shorttest5,14,side=r_itd=0_az=20_mag=1
shorttest5,15,side=r_itd=0_az=20_mag=0
